"Affenpinscher","Toy","1000","37","147"
"Lévrier afghan","Sporting","2250","79","93"
"Airedale Terrier","Terrier","700","29","55"
"Akita","Working","1000","54","47"
"Malamute d'Alaska","Working","1350","50","59"
"American Staffordshire Terrier","Terrier","900","34","83"
"Épagneul d'eau américain","Sporting","900","44","167"
"Bouvier australien","Herding","600","10","56"
"Berger australien","Terrier","700","42","17"
"Terrier australien","Terrier","1250","34","137"
"Basenji","Hound","1100","78","84"
"Basset","Hound","400","71","39"
"Beagle","Hound","650","72","6"
"Colley barbu","Herding","1300","34","125"
"Bedlington Terrier","Terrier","1900","40","151"
"Chien de berger belge","Herding","1300","15","120"
"Berger Belge Tervuren","Herding","1350","14","103"
"Bouvier bernois","Working","900","22","25"
"Bichon frisé","Non Sporting","850","45","46"
"Coonhound noir et feu","Hound","350","44","130"
"Labrador noir","Sporting","1500","7","1"
"Chien de Saint-Hubert","Hound","1000","74","50"
"Border collie","Herding","700","1","38"
"Border Terrier","Terrier","1300","30","92"
"Barzoï","Hound","1100","75","102"
"Boston Terrier","Non Sporting","750","54","21"
"Bouvier des Flandres","Herding","1750","29","85"
"Boxer","Working","900","49","11"
"Briard","Herding","1100","30","127"
"Épagneul breton","Sporting","750","19","26"
"Bull terrier","Terrier","1350","66","60"
"Bullmastiff","Working","1350","69","51"
"Cairn Terrier","Terrier","850","35","69"
"Cattle Dog","Herding","600","10","56"
"Cavalier King Charles Spaniel","Toy","1350","44","19"
"Chesapeake Bay Retriever","Sporting","800","27","43"
"Chihuahua","Toy","700","67","32"
"Chien chinois à crête","Toy","900","61","79"
"Labrador Retriever Chocolat","Sporting","1500","7","1"
"Chow Chow","Non Sporting","700","76","76"
"Clumber Spaniel","Sporting","1000","37","140"
"Cocker Spaniel","Sporting","700","20","29"
"Colley","Herding","500","16","40"
"Coonhound","Hound","350","44","130"
"Corgi","Herding","1100","26","68"
"Retriever à poil bouclé","Sporting","700","41","171"
"Teckel","Hound","600","49","13"
"Dalmatien","Non Sporting","800","39","63"
"Dandi Dinmont Terrier","Terrier","1500","62","182"
"Dobermann Pinscher","Working","900","5","16"
"Bulldog anglais","Non Sporting","1600","77","5"
"Cocker anglais","Sporting","1050","18","52"
"Pointeur anglais","Sporting","450","43","113"
"Setter anglais","Sporting","500","37","95"
"Springer anglais","Sporting","750","13","27"
"Épagneul des champs","Sporting","900","34","145"
"Spitz finlandais","Non Sporting","600","43","177"
"Retriever à poil plat","Sporting","1100","18","96"
"Fox terrier","Terrier","850","40","122"
"Foxhound","Hound","500","46","187"
"Bulldog français","Non Sporting","3000","58","4"
"Berger allemand","Herding","1400","3","2"
"Pointeur allemand à poil court","Working","700","17","10"
"Pointeur allemand à poil dur","Sporting","800","44","62"
"Schnauzer géant","Working","1250","28","80"
"Golden Retriever","Sporting","1500","4","3"
"Setter Gordon","Sporting","900","34","104"
"Grand danois","Working","1000","48","14"
"Patou","Working","800","64","66"
"Greyhound","Hound","650","46","156"
"Hound","Hound","500","46","187"
"Husky","Working","950","45","12"
"Podenco d'Ibiza","Hound","1000","53","165"
"Setter Irlandais","Sporting","900","35","72"
"Terrier irlandais","Terrier","700","53","114"
"Épagneul d'eau irlandais","Sporting","900","24","164"
"Lévrier irlandais","Hound","1900","41","73"
"Lévrier italien","Toy","900","60","74"
"Épagneul japonais","Toy","400","62","108"
"Spitz Loup","Non Sporting","900","16","87"
"Kerry Terrier bleu","Terrier","550","35","129"
"Kuvasz","Working","1350","42","157"
"Labrador Retriever","Sporting","1500","7","1"
"Lakeland Terrier","Terrier","1500","62","138"
"Lhassa Apso","Non Sporting","600","68","77"
"Bichon maltais","Toy","700","59","33"
"Manchester Terrier","Terrier","800","32","135"
"Mastiff","Working","1350","72","28"
"Pinscher nain","Toy","500","37","71"
"Mountain Dog","Working","900","22","25"
"Terre-Neuve","Working","1750","34","36"
"Norfolk Terrier","Terrier","2250","56","128"
"Chien d'élan norvégien","Hound","600","36","91"
"Norwich Terrier","Terrier","1700","38","105"
"Bobtail","Herding","1350","63","70"
"Chien à loutre","Hound","550","46","186"
"Papillon","Toy","500","8","53"
"Pékinois","Toy","700","73","88"
"Petit Basset Griffon Vendéen","Hound","1400","62","160"
"Chien du Pharaon","Hound","1900","37","174"
"Pointer","Sporting","450","43","113"
"Loulou de Poméranie","Toy","700","23","22"
"Caniche","Non Sporting","1250","2","7"
"Grand caniche","Non Sporting","1250","2","7"
"Carlin","Toy","400","57","31"
"Puli","Herding","1100","27","142"
"Retriever","Sporting","1500","4","3"
"Rhodesian Ridgeback","Hound","1150","52","41"
"Rottweiler","Working","1600","9","8"
"Saint-Bernard","Working","1650","65","48"
"Sloughi","Hound","700","43","123"
"Samoyède","Working","1350","33","57"
"Schipperke","Non Sporting","800","15","110"
"Schnauzer","Working","1350","18","90"
"Lévrier écossais","Hound","1100","47","168"
"Terrier écossais","Terrier","900","65","58"
"Sealyham Terrier","Terrier","900","56","150"
"Setter","Sporting","500","37","95"
"Shar Pei","Non Sporting","1100","51","64"
"Chien de berger","Herding","1350","63","70"
"Berger","Herding","1400","3","2"
"Berger des Shetland","Herding","900","6","24"
"Shih Tzu","Toy","1000","70","20"
"Husky sibérien","Working","950","45","12"
"Terrier australien à poil soyeux","Toy","700","37","106"
"Skye Terrier","Terrier","800","55","172"
"Fox terrier à poil lisse","Terrier","850","40","122"
"Épagneul","Sporting","700","20","29"
"Staffordshire Bull Terrier","Terrier","1750","49","82"
"Terrier","Terrier","1050","47","42"
"Épagneul tibétain","Non Sporting","900","46","121"
"Terrier tibétain","Non Sporting","1600","62","101"
"Braque de Weimar","Sporting","1750","21","34"
"Corgi gallois","Herding","1100","26","68"
"Cardigan","Herding","1100","26","68"
"Pembroke","Herding","1100","26","68"
"Épagneul springer gallois","Sporting","1300","31","133"
"Terrier gallois","Terrier","1000","53","109"
"West Highland White Terrier Westie","Terrier","1050","47","42"
"Terrier irlandais","Terrier","900","40","49"
"Whippet","Hound","1000","51","61"
"Berger allemand blanc","Herding","1400","3","2"
"Fox Terrier à poil filaire","Terrier","900","51","99"
"Griffon à poils durs","Sporting","700","46","65"
"Terrier à poil dur","Terrier","900","51","99"
"Labrador Retriever jaune","Sporting","1500","7","1"
"Yorkshire Terrier Yorkie","Toy","800","27","9"
